dir,paquet,"Outil librairie",Qui,License,"site du produit ","lien pour telecharger",remarque
General,cmake-3.0.2.tar.gz,outil,GF,BSD,http://www.cmake.org/,http://www.cmake.org/files/v3.0/cmake-3.0.2.tar.gz,
General,make-4.0.tar.gz,outil,GF,GPL,http://www.gnu.org/software/make,http://ftp.gnu.org/gnu/make/make-4.0.tar.gz,
General,xdata-0.9.10.tar.gz,outil,GF,LGPL,http://files.salome-platform.org,http://files.salome-platform.org/cea/adam/xdata/download/0.9.10/xdata-0.9.10.tar.gz,
General,ccache-3.1.4.tar.gz,outil,GF,GPL,http://ccache.samba.org,https://ftp.samba.org/pub/ccache/ccache-3.1.4.tar.gz,
General,cppunit-1.12.1.tar.gz,outil,GF,GPL,https://sourceforge.net/projects/cppunit,http://sourceforge.net/projects/cppunit/files/cppunit/1.12.1/cppunit-1.12.1.tar.gz/download,
General,valgrind-3.12.0.tar.bz2,outil,GF,GPL,http://valgrind.org/info/,http://valgrind.org/downloads/valgrind-3.12.0.tar.bz2,
General,astyle_2.02.1_linux.tar.gz,outil,GF,LGPL,http://astyle.sourceforge.net/,http://pkgs.fedoraproject.org/lookaside/pkgs/astyle/astyle_2.02.1_linux.tar.gz/3e3ef8024c175ef4e1720b7aa4c75202/astyle_2.02.1_linux.tar.gz,
General,doxygen-1.7.4.linux.bin.tar.gz,outil,GF,GPL,https://sourceforge.net/projects/doxygen/,http://sourceforge.net/projects/doxygen/files/rel-1.7.4/doxygen-1.7.4.linux.bin.tar.gz/download,
General,Python-2.7.6.tgz,,GF,GPL,https://www.python.org/,https://www.python.org/ftp/python/2.7.6/Python-2.7.6.tgz,
General,hwloc-1.9.tar.gz,,GF,BSD,http://www.open-mpi.org/projects/hwloc/,https://www.open-mpi.org/software/hwloc/v1.9/downloads/hwloc-1.9.tar.gz,
General,makedepend-1.0.5.tar.bz2,,GF,"BSD like",https://github.com/ioerror/makedepend/,ftp://ftp.x.org/pub/individual/util/makedepend-1.0.5.tar.bz2,
General,metis-5.0.3.tar.gz,,GF,Apache,http://glaros.dtc.umn.edu/gkhome/metis/metis/overview,http://glaros.dtc.umn.edu/gkhome/fetch/sw/metis/metis-5.0.3.tar.gz,
General,metis-5.1.0.tar.gz,,GF,Apache,http://glaros.dtc.umn.edu/gkhome/metis/metis/overview,http://glaros.dtc.umn.edu/gkhome/fetch/sw/metis/metis-5.1.0.tar.gz,
MPI,mvapich2-2.1.tgz,,GF,BSD,http://mvapich.cse.ohio-state.edu/,http://mvapich.cse.ohio-state.edu/download/mvapich/mv2/mvapich2-2.1.tar.gz,"archive introuvable, update !!"
MPI,openmpi-2.0.2.tar.gz,,GF,BSD,https://www.open-mpi.org/,https://www.open-mpi.org/software/ompi/v2.0/downloads/openmpi-2.0.2.tar.gz,
MPI,mpich-3.2.tar.gz,,SV,"BSD-like license",https://www.mpich.org/,http://www.mpich.org/static/downloads/3.2/mpich-3.2.tar.gz,"pour la licence, verifiez. j'ai tire l'info de http://lists.mpich.org/pipermail/discuss/2014-October/003306.html"
MPI,osu-micro-benchmarks-3.8.tar,,SV,BSD,https://www.nersc.gov/,https://www.nersc.gov/assets/Trinity--NERSC-8-RFP/Benchmarks/July12/osu-micro-benchmarks-3.8-July12.tar,"Note : pour le site je ne sais si celui ci est mieux ou pas : https://www.nersc.gov/users/computational-systems/cori/nersc-8-procurement/trinity-nersc-8-rfp/nersc-8-trinity-benchmarks/omb-mpi-tests et pour la licence j'ai regardé sur http://mvapich.cse.ohio-state.edu/benchmarks/ "
SKIT,SPARSKIT2.tar.gz,,SV,"LGPL ",http://www-users.cs.umn.edu/~saad/software/SPARSKIT/,http://www-users.cs.umn.edu/~saad/software/SPARSKIT/SPARSKIT2.tar.gz,"Pour la license, voir : https://launchpad.net/ubuntu/vivid/+source/sparskit/+copyright"
